year,state_abbrev,state,vep_turnout_rate
2012,US,United States,0.5816013075683
2012,AL,Alabama,0.5889097361374
2012,AK,Alaska,0.5894539684361
2012,AZ,Arizona,0.5290180527899
2012,AR,Arkansas,0.5052600718099
2012,CA,California,0.5520113571036
2012,CO,Colorado,0.7031158454148
2012,CT,Connecticut,0.6089740103145
2012,DE,Delaware,0.6266019763513
2012,DC,District of Columbia,0.6186244811631
2012,FL,Florida,0.6348269518506
2012,GA,Georgia,0.5836126229860
2012,HI,Hawaii,0.4422403688816
2012,ID,Idaho,0.5959615785044
2012,IL,Illinois,0.5887918309487
2012,IN,Indiana,0.5514769223134
2012,IA,Iowa,0.6990356027413
2012,KS,Kansas,0.5700404873618
2012,KY,Kentucky,0.5532772432931
2012,LA,Louisiana,0.6038020654320
2012,ME,Maine,0.6805796831350
2012,MD,Maryland,0.6616330067660
2012,MA,Massachusetts,0.6625157799960
2012,MI,Michigan,0.6465492933545
2012,MN,Minnesota,0.7574796526100
2012,MS,Mississippi,0.5971720025790
2012,MO,Missouri,0.6251280274700
2012,MT,Montana,0.6260749440663
2012,NE,Nebraska,0.6009152953199
2012,NV,Nevada,0.5713330724891
2012,NH,New Hampshire,0.7013470735904
2012,NJ,New Jersey,0.6187843228382
2012,NM,New Mexico,0.5471738646475
2012,NY,New York,0.5316206985531
2012,NC,North Carolina,0.6463143149839
2012,ND,North Dakota,0.6058188319977
2012,OH,Ohio,0.6455580591831
2012,OK,Oklahoma,0.4915721415406
2012,OR,Oregon,0.6323965135110
2012,PA,Pennsylvania,0.5935305922573
2012,RI,Rhode Island,0.5802001426988
2012,SC,South Carolina,0.5658801988383
2012,SD,South Dakota,0.5941684459251
2012,TN,Tennessee,0.5217934094378
2012,TX,Texas,0.4965064348607
2012,UT,Utah,0.5542621615652
2012,VT,Vermont,0.6035709176315
2012,VA,Virginia,0.6635639629125
2012,WA,Washington,0.6407413245553
2012,WV,West Virginia,0.4632806161432
2012,WI,Wisconsin,0.7254227870854
2012,WY,Wyoming,0.5890974605087
2010,US,United States,0.4096554672000
2010,AL,Alabama,0.4302809985108
2010,AK,Alaska,0.5205473314825
2010,AZ,Arizona,0.4093531118683
2010,AR,Arkansas,0.3754547093910
2010,CA,California,0.4404382452261
2010,CO,Colorado,0.5064978567910
2010,CT,Connecticut,0.4585270159602
2010,DE,Delaware,0.4737718951534
2010,DC,District of Columbia,0.2886777100176
2010,FL,Florida,0.4181820020557
2010,GA,Georgia,0.3985147364931
2010,HI,Hawaii,0.3984861993847
2010,ID,Idaho,0.4223274894475
2010,IL,Illinois,0.4243962905942
2010,IN,Indiana,0.3712720228833
2010,IA,Iowa,0.4998228399236
2010,KS,Kansas,0.4173992241020
2010,KY,Kentucky,0.4241429876975
2010,LA,Louisiana,0.3896829998924
2010,ME,Maine,0.5516194660655
2010,MD,Maryland,0.4645069620065
2010,MA,Massachusetts,0.4907058604248
2010,MI,Michigan,0.4450757081616
2010,MN,Minnesota,0.5539250361344
2010,MS,Mississippi,0.3700286480355
2010,MO,Missouri,0.4452625152812
2010,MT,Montana,0.4748794105425
2010,NE,Nebraska,0.3736862717051
2010,NV,Nevada,0.4120072084910
2010,NH,New Hampshire,0.4565118986897
2010,NJ,New Jersey,0.3645864511769
2010,NM,New Mexico,0.4284409550366
2010,NY,New York,0.3550279347472
2010,NC,North Carolina,0.3916634072128
2010,ND,North Dakota,0.4616088880058
2010,OH,Ohio,0.4496268321068
2010,OK,Oklahoma,0.3876910009936
2010,OR,Oregon,0.5262069256613
2010,PA,Pennsylvania,0.4167955029630
2010,RI,Rhode Island,0.4487226435452
2010,SC,South Carolina,0.3967730844393
2010,SD,South Dakota,0.5286140997470
2010,TN,Tennessee,0.3465640169301
2010,TX,Texas,0.3214364353298
2010,UT,Utah,0.3620505776237
2010,VT,Vermont,0.4939560113375
2010,VA,Virginia,0.3870099856486
2010,WA,Washington,0.5314497392590
2010,WV,West Virginia,0.3673061671601
2010,WI,Wisconsin,0.5201134339307
2010,WY,Wyoming,0.4522821516059
2008,US,United States,0.6155481295049
2008,AL,Alabama,0.6078485941742
2008,AK,Alaska,0.6803863463221
2008,AZ,Arizona,0.5668395016760
2008,AR,Arkansas,0.5245395823216
2008,CA,California,0.6092086146424
2008,CO,Colorado,0.7098404685326
2008,CT,Connecticut,0.6664255865403
2008,DE,Delaware,0.6564757196712
2008,DC,District of Columbia,0.6145948416764
2008,FL,Florida,0.6613442666899
2008,GA,Georgia,0.6247245745718
2008,HI,Hawaii,0.4876721532526
2008,ID,Idaho,0.6363144376839
2008,IL,Illinois,0.6362128080556
2008,IN,Indiana,0.5912406207199
2008,IA,Iowa,0.6936180357261
2008,KS,Kansas,0.6204926471081
2008,KY,Kentucky,0.5793602442073
2008,LA,Louisiana,0.6116303665378
2008,ME,Maine,0.7055908672888
2008,MD,Maryland,0.6704503286361
2008,MA,Massachusetts,0.6679570500288
2008,MI,Michigan,0.6918538775409
2008,MN,Minnesota,0.7781439294371
2008,MS,Mississippi,0.6103380334987
2008,MO,Missouri,0.6759460294760
2008,MT,Montana,0.6631500866830
2008,NE,Nebraska,0.6285942765739
2008,NV,Nevada,0.5703854525022
2008,NH,New Hampshire,0.7165401158552
2008,NJ,New Jersey,0.6696475080940
2008,NM,New Mexico,0.6092326903568
2008,NY,New York,0.5900577951671
2008,NC,North Carolina,0.6547070239507
2008,ND,North Dakota,0.6272680686858
2008,OH,Ohio,0.6693536175106
2008,OK,Oklahoma,0.5584548516279
2008,OR,Oregon,0.6769046491736
2008,PA,Pennsylvania,0.6357294139056
2008,RI,Rhode Island,0.6178116641886
2008,SC,South Carolina,0.5801701419853
2008,SD,South Dakota,0.6466261230776
