quote_text	who_said
"If it's a legitimate rape, the female body has ways to try to shut that whole thing down."	1
"Even if life begins in that horrible situation of rape, that it is something that God intended to happen."	2
"On the rape thing it's like, how does putting more violence onto a woman's body and taking the life of an innocent child that's a consequence of this crime, how does that make it better?"	67
There are very few pregnancies as a result of rape.	69
"What does it say about the college co-ed [Sandra] Fluke who goes before a congressional committee and essentially says that she must be paid to have sex -- what does that make her? It makes her a slut, right? It makes her a prostitute. She wants to be paid to have sex. She's having so much sex she can't afford the contraception. She wants you and me and the taxpayers to pay her to have sex."	3
"Obviously, diversity would be great, but the race is not going to be defined by whether we have a woman; people are going to judge candidates based on their agenda. This isn't a beauty contest."	55
"There's no discrimination or inequality, either of these men could be married to a woman."	35
"Some women believe they can have it all, and that's the crux of the problem."	16
"The male typically is the dominant role [in] the natural world ... we as people in a smart society have lost the ability to have complimentary relationships in nuclear families, and it's tearing us apart."	16
It is a bit embarrassing that Abortion Barbie doesn't even have her facts straight.	16
[About the Democratic National Convention]: First night of the Vagina Monologues in Charlotte going as expected.	16
[On Chelsea Manning coming out as transgender]: Big question is how a nut like Bradley Manning ever got close to the information he leaked. But just remember it's not a mental health issue.	16
The incidence of rape resulting in pregnancy are very low.	64
"Watch a sonogram of a 15-week baby, and they have movements that are purposeful. They stroke their face. If they're a male baby, they may have their hand between their legs. If they feel pleasure, why is it so hard to believe that they could feel pain?"	39
"She's forgetting about the thousands of women who want an informed choice, who want the opportunity to get a free [forced transvaginal] ultrasound, which they can get not from Planned Parenthood but from a lot of these pregnancy centers."	25
In the emergency room they have what's called rape kits where a woman can get cleaned out.	27
[On her bill amendment that would deny prenatal care to expectant mothers]: But they're not born yet.	27
[On forced transvaginal ultrasounds:] You just have to close your eyes.	62
"My view is that homosexual acts, not homosexuality, but homosexual acts are wrong. They're intrinsically wrong. And I think in a natural law based country it's appropriate to have policies that reflect that. ... They don't comport with natural law."	32
"In Missouri, Todd Akin ... was asked by a local news source about rape and he said, 'Look, in a legitimate rape situation' -- and what he meant by legitimate rape was just look, someone can say I was raped: A scared-to-death 15-year-old that becomes impregnated by her boyfriend and then has to tell her parents, that's pretty tough and might on some occasion say, 'Hey, I was raped.' That's what he meant when he said legitimate rape versus non-legitimate rape. I don't find anything so horrible about that."	49
I believe life begins at the moment of conception and I don't make exceptions for rape and incest.	58
Planned Parenthood has been far more lethal to black lives than the KKK ever was.	13
"Apparently, my answer came across as supporting abortions under a rape and incest exception. I absolutely do not believe in that. ...  I wanted to make sure that my position was clear, unequivocally, that I oppose abortion in all cases of rape and incest."	43
"By getting married, the woman has consented to sex, and I don't think you can call it rape."	50
"[On whether there should be a rape exception to abortion]: I'm very proud of my pro-life record, and I've always adopted the idea that, the position that the method of conception doesn't change the definition of life."	46
"I believe and I think the right approach is to accept this horribly created -- in the sense of rape -- but nevertheless a gift in a very broken way, the gift of human life, and accept what God has given to you ... we have to make the best out of a bad situation."	52
"I am opposed to abortion in all instances, except when the life of the mother is at stake."	9
"Well, I mean, candidly, [the RNC's anti-abortion platform plank is] pretty much the exact same language as 2004 and 2008. It has no reference to particular exceptions at all. And this wouldn't be an issue but for Congressman Akin. The language is pretty much word-for-word for what we have had the last eight years."	53
Life of the mother? ... it is a matter of convenience!	7
"[On why he opposes marriage equality]: We have such crime here in Chicago, young people being slaughtered every night, we wake up in the morning and there's been another murder, another teenager has been killed. They said in the midst of a society that is so desperate and so high-crime ridden, do we really now need laid upon this the destruction of the family and the destruction of marriage?"	17
"You normal women make different choices, and that's why women are paid less."	29
"[On a Pew Study showing that 40% of women were breadwinners for their family]: ... women have become the breadwinners in this country, and a lot of other concerning and troubling statistics ... [the study shows] society dissolv[ing] around us."	36
"[On a Pew Study showing that 40% of women were breadwinners for their family]: [It's a sign of] something going terribly wrong in American society, and it's hurting our children, and it's going to have impact for generations to come."	31
[The desire for population growth] is one of the reasons why there is this movement against homosexuality.	3
[Immigration from Mexico would] turn America into a hellhole.	33
